Words;10;20;30;40;50;60;70;80;90;100
basketball;0.07400000000000002;0.014893617021276595;0.10000000000000002;0.19361702127659566;0.4382978723404254;0.4680851063829789;0.7148936170212765;0.9042553191489359;0.8914893617021272;0.8914893617021272
sunglasses;0.21020408163265308;0.02916666666666667;0.03541666666666667;0.014583333333333332;0.016666666666666666;0.04375000000000001;0.2729166666666666;0.38125000000000003;0.4170212765957447;0.4170212765957447
children;0.17555555555555552;0.17555555555555558;0.3266666666666667;0.3266666666666667;0.4888888888888889;0.3822222222222223;0.4888888888888889;0.4888888888888889;0.4755555555555557;0.47333333333333344
building;0.03902439024390244;0.3560975609756098;0.3560975609756098;0.48048780487804876;0.48048780487804876;0.3560975609756098;0.43414634146341463;0.43414634146341463;0.33658536585365845;0.33658536585365845
football;0.09183673469387756;0.037777777777777785;0.037777777777777785;0.1222222222222222;0.1222222222222222;0.2866666666666666;0.6288888888888887;0.6288888888888887;0.7222222222222221;0.7222222222222221
camera;0.031818181818181815;0.031818181818181815;0.10227272727272729;0.10227272727272729;0.12499999999999996;0.12499999999999996;0.15217391304347822;0.15217391304347822;0.13913043478260867;0.13913043478260867
jacket;0.002127659574468085;0.002127659574468085;0.07446808510638302;0.07446808510638302;0.19574468085106386;0.19574468085106386;0.19361702127659577;0.19361702127659577;0.21489361702127655;0.21489361702127655
mountain;0.08372093023255817;0.08372093023255817;0.6000000000000001;0.6000000000000001;0.6230769230769231;0.6230769230769231;0.6487179487179486;0.6487179487179486;0.6076923076923078;0.6076923076923078
person;0.19565217391304343;0.19565217391304343;0.08260869565217396;0.08260869565217396;0.19565217391304343;0.19565217391304343;0.18478260869565213;0.18478260869565213;0.16304347826086954;0.16304347826086954
street;0.15000000000000002;0.15000000000000002;0.20555555555555557;0.20555555555555557;0.4833333333333333;0.4833333333333333;0.31666666666666665;0.31666666666666665;0.20833333333333337;0.20833333333333337
woman;0.0810810810810811;0.0810810810810811;0.027027027027027025;0.027027027027027025;0.39729729729729735;0.39729729729729735;0.6054054054054054;0.6054054054054054;0.5891891891891892;0.5891891891891892
shorts;0.05000000000000001;0.05000000000000001;0.3256410256410257;0.3256410256410257;0.4153846153846156;0.4153846153846156;0.3897435897435898;0.3897435897435898;0.34871794871794887;0.34871794871794887
player;0.05471698113207548;0.05471698113207548;0.13695652173913042;0.13695652173913042;0.13695652173913042;0.24565217391304345;0.24565217391304345;0.3630434782608697;0.3630434782608697;0.3630434782608697
grass;0.04666666666666667;0.04666666666666667;0.13999999999999999;0.13999999999999999;0.13999999999999999;0.28888888888888886;0.28888888888888886;0.4066666666666668;0.4066666666666668;0.4066666666666668
swing;0.004081632653061225;0.004081632653061225;0.0125;0.0125;0.0125;0.3999999999999999;0.3999999999999999;0.5050000000000001;0.5050000000000001;0.5050000000000001
dress;0.03636363636363637;0.03636363636363637;0.06500000000000002;0.06500000000000002;0.06500000000000002;0.10999999999999999;0.10999999999999999;0.3500000000000001;0.3500000000000001;0.3500000000000001
park;0.04680851063829788;0.04680851063829788;0.09148936170212764;0.09148936170212764;0.09148936170212764;0.25531914893617025;0.25531914893617025;0.20212765957446804;0.20212765957446804;0.20212765957446804
bench;0.0393939393939394;0.0393939393939394;0.07878787878787882;0.07878787878787882;0.07878787878787882;0.16666666666666669;0.16666666666666669;0.2606060606060606;0.2606060606060606;0.2606060606060606
water;0.27499999999999997;0.27499999999999997;0.7000000000000001;0.7000000000000001;0.7000000000000001;0.6478260869565217;0.6478260869565217;0.7217391304347827;0.7217391304347827;0.7217391304347827
table;0.004651162790697674;0.004651162790697674;0.08837209302325587;0.08837209302325587;0.08837209302325587;0.11860465116279073;0.11860465116279073;0.3511627906976744;0.3511627906976744;0.3511627906976744
girls;0.06279069767441862;0.06279069767441862;0.2348837209302326;0.2348837209302326;0.2348837209302326;0.27674418604651174;0.27674418604651174;0.386046511627907;0.386046511627907;0.386046511627907
child;0.12727272727272732;0.12727272727272732;0.3977272727272728;0.3977272727272728;0.3977272727272728;0.5159090909090911;0.5159090909090911;0.49999999999999994;0.49999999999999994;0.49999999999999994
ocean;0.03888888888888889;0.03888888888888889;0.3;0.3;0.3;0.47777777777777786;0.47777777777777786;0.425;0.425;0.425
dogs;0.03125000000000001;0.03125000000000001;0.6020833333333334;0.6020833333333334;0.6020833333333334;0.6354166666666667;0.6354166666666667;0.6958333333333333;0.6958333333333333;0.6958333333333333
people;0.19069767441860466;0.19069767441860466;0.2232558139534884;0.2232558139534884;0.2232558139534884;0.23720930232558143;0.23720930232558143;0.5465116279069767;0.5465116279069767;0.5465116279069767
sand;0.07727272727272728;0.07727272727272728;0.3;0.3;0.3;0.3465116279069767;0.3465116279069767;0.3906976744186046;0.3906976744186046;0.3906976744186046
soccer;0.009090909090909092;0.009090909090909092;0.18372093023255812;0.18372093023255812;0.18372093023255812;0.588372093023256;0.588372093023256;0.7883720930232556;0.7883720930232556;0.7883720930232556
field;0.0791666666666667;0.0791666666666667;0.058333333333333355;0.058333333333333355;0.058333333333333355;0.29583333333333334;0.29583333333333334;0.26666666666666666;0.26666666666666666;0.26666666666666666
mouth;0.06279069767441862;0.06279069767441862;0.06279069767441862;0.048837209302325595;0.048837209302325595;0.048837209302325595;0.08604651162790701;0.08604651162790701;0.08604651162790701;0.08604651162790701
dirt;0.027999999999999997;0.027999999999999997;0.027999999999999997;0.4934782608695652;0.4934782608695652;0.4934782608695652;0.4478260869565217;0.4478260869565217;0.4478260869565217;0.4478260869565217
snow;0.08076923076923077;0.08076923076923077;0.08076923076923077;0.08076923076923077;0.6183673469387755;0.6183673469387755;0.7428571428571427;0.7428571428571427;0.7428571428571427;0.7428571428571427
pool;0.06444444444444446;0.06444444444444446;0.06444444444444446;0.6555555555555556;0.6555555555555556;0.6555555555555556;0.7577777777777777;0.7577777777777777;0.7577777777777777;0.7577777777777777
dog;0.08000000000000002;0.08000000000000002;0.08000000000000002;0.6693877551020412;0.6693877551020412;0.6693877551020412;0.7959183673469382;0.7959183673469382;0.7959183673469382;0.7959183673469382
wall;0.05777777777777781;0.05777777777777781;0.05777777777777781;0.2613636363636363;0.2613636363636363;0.2613636363636363;0.45681818181818185;0.45681818181818185;0.45681818181818185;0.45681818181818185
hair;0.048837209302325595;0.048837209302325595;0.048837209302325595;0.06046511627906978;0.06046511627906978;0.06046511627906978;0.04186046511627908;0.04186046511627908;0.04186046511627908;0.04186046511627908
car;0.3369565217391305;0.3369565217391305;0.3369565217391305;0.6227272727272729;0.6227272727272729;0.6227272727272729;0.5681818181818182;0.5681818181818182;0.5681818181818182;0.5681818181818182
hat;0.10750000000000001;0.10750000000000001;0.10750000000000001;0.15750000000000003;0.15750000000000003;0.15750000000000003;0.20249999999999999;0.20249999999999999;0.20249999999999999;0.20249999999999999
boys;0.06400000000000003;0.06400000000000003;0.06400000000000003;0.1612244897959184;0.1612244897959184;0.1612244897959184;0.15102040816326529;0.15102040816326529;0.15102040816326529;0.15102040816326529
rock;0.030909090909090917;0.030909090909090917;0.030909090909090917;0.6208333333333335;0.6208333333333335;0.6208333333333335;0.6499999999999998;0.6499999999999998;0.6499999999999998;0.6499999999999998
bike;0.015555555555555555;0.015555555555555555;0.015555555555555555;0.3255813953488372;0.3255813953488372;0.3255813953488372;0.586046511627907;0.586046511627907;0.586046511627907;0.586046511627907
men;0.1791666666666666;0.1791666666666666;0.1791666666666666;0.13617021276595745;0.13617021276595745;0.13617021276595745;0.1191489361702128;0.1191489361702128;0.1191489361702128;0.1191489361702128
ball;0.13;0.13;0.13;0.48260869565217407;0.48260869565217407;0.48260869565217407;0.43260869565217397;0.43260869565217397;0.43260869565217397;0.43260869565217397
shirt;0.14888888888888893;0.14888888888888893;0.14888888888888893;0.48372093023255813;0.48372093023255813;0.48372093023255813;0.430232558139535;0.430232558139535;0.430232558139535;0.430232558139535
girl;0.14750000000000002;0.14750000000000002;0.14750000000000002;0.5999999999999998;0.5999999999999998;0.5999999999999998;0.8424999999999997;0.8424999999999997;0.8424999999999997;0.8424999999999997
man;0.28979591836734697;0.28979591836734697;0.28979591836734697;0.7229166666666668;0.7229166666666668;0.7229166666666668;0.795833333333333;0.795833333333333;0.795833333333333;0.795833333333333
head;0.05319148936170215;0.05319148936170215;0.05319148936170215;0.0595744680851064;0.0595744680851064;0.0595744680851064;0.05531914893617023;0.05531914893617023;0.05531914893617023;0.05531914893617023
face;0.03181818181818183;0.03181818181818183;0.03181818181818183;0.07000000000000003;0.07000000000000003;0.07000000000000003;0.07750000000000004;0.07750000000000004;0.07750000000000004;0.07750000000000004
air;0.328888888888889;0.328888888888889;0.328888888888889;0.328888888888889;0.328888888888889;0.3743589743589744;0.3743589743589744;0.3743589743589744;0.3743589743589744;0.3743589743589744
boy;0.17441860465116274;0.17441860465116274;0.17441860465116274;0.17441860465116274;0.17441860465116274;0.7209302325581395;0.7209302325581395;0.7209302325581395;0.7209302325581395;0.7209302325581395